Aff,Neg,Judges,Votes,Win
Lawrenceville AV,Milpitas XS,"William Hong																																						Anne Rottinghaus																																						Brendan Bauschard","Neg																															Aff																															Aff","2-1																															AFF"
National Debate Club (NDC) LG,Bergen WS,"Nan Yao																																						Kate Canes																																						Joel Chen","Neg																															Aff																															Aff","2-1																															AFF"
NS Independent ZW,Taipei American KZ,"Sibabrata Mishra																																						Wenping Lu																																						Arrman Kapoor","Aff																															Aff																															Neg","2-1																															AFF"
Livingston TZ,Thomas Jefferson HSST CC,"Ting Chen																																						Kendrick Foster																																						Timothy Jin","Aff																															Aff																															Neg","2-1																															AFF"
Dougherty Valley KT,Vanguard Independent BN,"Isabella Maldia																																						Himanshu Tripathi																																						Manikanta Patasmetti","Neg																															Aff																															Aff","2-1																															AFF"
NS Independent CY,Bronx Science CT,"Beth Cole																																						Tanishka Tomar																																						Christopher Peng","Aff																															Aff																															Aff","3-0																															AFF"
Taipei American CC,Pacific Blue Prep ZB,"Christina Xu																																						Yakub Islamov																																						Tanish Katkar","Neg																															Neg																															Neg","3-0																															NEG"
BASIS Peoria Independent TK,Fairmont Prep PJ,"Sanjeev Vashist																																						Fuhai Li																																						Davida Paul","Neg																															Neg																															Neg","3-0																															NEG"
Lexington HH,Theodore Roosevelt BH,"Jing Cai																																						Anne Rucker																																						Patrick Yi","Aff																															Aff																															Neg","2-1																															AFF"
Livingston SV,Milpitas ND,"Jasmine Park																																						Aruljothi Subbaraj																																						Denzel Bell","Aff																															Neg																															Neg","2-1																															NEG"
Central HS Springfield KH,McLean RW,"Sameer Wankhede																																						Jess Hughes																																						Sreenivasulu Gollapudi","Aff																															Neg																															Neg","2-1																															NEG"
Bergen RP,Lincoln East NB,"George Thomas																																						Dean Carman																																						Preston Knutson","Aff																															Neg																															Neg","2-1																															NEG"
NS Independent PL,Avenues: The World JY,"Paul Queija																																						Soma Ganti																																						Joshua Enebo","Neg																															Neg																															Aff","2-1																															NEG"
Walton KL,Theodore Roosevelt MM,"Daljit Kaur																																						Gist Croft																																						Ajay Gupta","Neg																															Aff																															Aff","2-1																															AFF"
Omega ZZ,Able2Shine YL,"Sophie Zhang																																						Ken Bhardwaj																																						Isaac Mazariegos","Aff																															Neg																															Neg","2-1																															NEG"
Livingston YZ,MSTW Independent SD,"Jing Yang																																						Sachin Letchumanan																																						Fiona Li","Aff																															Aff																															Aff","3-0																															AFF"
Arlington LC,National Debate Club (NDC) YQ,"Klil Loeb																																						Pavel Volkov																																						Cathy Hu","Aff																															Aff																															Aff","3-0																															AFF"
Mission San Jose PS,Northside Prep RP,"Xiong Deng																																						Jing Li																																						Dawn Paciotti","Neg																															Aff																															Aff","2-1																															AFF"
Potomac AB,Vista Del Lago YK,"Jamie Brashear																																						Baojun Liu																																						Aarthi Mohan","Neg																															Neg																															Neg","3-0																															NEG"
Amador Valley Independent JG,Jellyfish Independent LW,"Ara Mehran																																						Jayant Namdhari																																						Xiaorong Zhou","Neg																															Neg																															Neg","3-0																															NEG"